time-step,cId,c.cpu(full/used),c.storage(full/used),c.ram(full/used),c.currUsersAllocated
1,c112,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c113,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c114,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c115,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c116,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c117,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c118,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c119,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c120,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c121,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c122,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c123,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c124,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c125,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c126,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c127,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c128,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c129,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c130,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c131,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c132,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c133,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
1,c134,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c18,"(224000, 51958)","(147456, 39682)","(311296, 36832)","['v5', 'v13', 'v15', 'v17', 'v19', 'v22', 'v23', 'v24', 'v25']"
61,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c26,"(224000, 155967)","(147456, 95283)","(311296, 143617)","['v8', 'v21', 'v87', 'v80']"
61,c27,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c28,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c29,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c30,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c31,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c32,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c33,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c34,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c35,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c36,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c37,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c38,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c39,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c40,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c41,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c42,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c43,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c44,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c45,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c46,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c47,"(224000, 64394)","(147456, 10215)","(311296, 24869)","['v3', 'v6', 'v10', 'v11', 'v14', 'v16', 'v18', 'v67', 'v93', 'v41']"
61,c48,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c49,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c50,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c51,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c52,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c53,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c54,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c55,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c56,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c57,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c58,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c59,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c60,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c61,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c62,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c63,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c64,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c65,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c66,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c67,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c68,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c69,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c70,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c71,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c72,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c73,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c74,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c75,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c76,"(224000, 191810)","(147456, 114682)","(311296, 180077)","['v42', 'v92']"
61,c77,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c78,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c79,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c80,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c81,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c82,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c83,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c84,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c85,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c86,"(224000, 175870)","(147456, 114665)","(311296, 212893)","['v85', 'v78']"
61,c87,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c88,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c89,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c90,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c91,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c92,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c93,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c94,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c95,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c96,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c97,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c98,"(224000, 76677)","(147456, 33638)","(311296, 94702)","['v0', 'v1', 'v2', 'v4', 'v7', 'v9', 'v12', 'v20', 'v82', 'v26', 'v39']"
61,c99,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c100,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c101,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c102,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c103,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c104,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c105,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c106,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c107,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c108,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c109,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c110,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c111,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c112,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c113,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c114,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c115,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c116,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c117,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
61,c118,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
