time-step,cloudlets usage
531,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
541,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
551,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
561,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
571,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
581,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
591,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
601,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
611,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
621,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
631,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
641,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
651,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
661,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
671,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
681,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
691,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
701,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
711,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
721,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
731,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
741,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
751,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
761,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
771,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
781,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
791,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
801,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
811,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
821,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
831,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
841,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
851,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
861,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
871,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
881,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
891,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
901,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
911,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
921,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
931,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
941,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
951,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
961,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
971,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
981,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
991,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1001,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1011,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1021,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1031,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1041,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1051,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1061,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1071,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1081,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1091,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1101,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1111,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1121,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1131,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1141,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1151,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1161,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1171,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1181,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1191,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1201,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1211,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1221,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1231,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1241,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1251,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1261,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1271,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1281,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1291,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1301,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1311,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1321,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1331,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1341,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1351,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1361,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1371,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1381,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1391,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1401,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1411,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1421,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1431,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1441,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
1451,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
