time-step,cloudlets usage
771,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
781,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
791,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
801,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
811,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
821,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
831,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
841,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
851,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
861,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
871,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
881,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
891,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
901,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
