time-step,cId,c.cpu(%used),c.storage(%used),c.ram(%used),c.currUsersAllocated,num allocated users
541,c37,0.7667008928571428,0.9908718532986112,0.9582937140213815,"['v22', 'v34', 'v91', 'v17', 'v3', 'v53', 'v18', 'v2', 'v78', 'v70', 'v10', 'v48', 'v79']",13
541,c41,0.9996830357142857,0.7769300672743056,0.7365080180921053,"['v61', 'v52', 'v40', 'v84', 'v93', 'v65', 'v62']",7
541,c48,0.5742098214285715,0.8625895182291666,0.6857139185855263,"['v8', 'v7', 'v24', 'v1', 'v9', 'v16', 'v4', 'v12', 'v13', 'v25', 'v0']",11
601,c0,0.3748482142857143,0.6170247395833334,0.5123997738486842,"['v22', 'v17', 'v3', 'v18', 'v2', 'v78', 'v10', 'v23']",8
601,c40,0.3561026785714286,0.4865383572048611,0.6039235968338815,"['v34', 'v53', 'v57', 'v42', 'v48', 'v59']",6
601,c41,0.9996830357142857,0.7769300672743056,0.7365080180921053,"['v61', 'v52', 'v40', 'v84', 'v93', 'v65', 'v62']",7
661,c0,0.49903125,0.6382107204861112,0.5764095908717105,"['v22', 'v34', 'v17', 'v3', 'v18', 'v2', 'v10', 'v48', 'v23']",9
661,c15,0.9996830357142857,0.7769300672743056,0.7365080180921053,"['v61', 'v52', 'v40', 'v84', 'v93', 'v65', 'v62']",7
661,c27,0.03598660714285714,0.11109754774305555,0.05292069284539474,['v78'],1
661,c31,0.8929508928571429,0.8881157769097222,0.9996530633223685,"['v66', 'v44', 'v31', 'v28', 'v64', 'v97', 'v58', 'v20']",8
721,c6,0.9983169642857143,0.7779269748263888,0.7365915398848685,"['v52', 'v40', 'v84', 'v66', 'v62', 'v28', 'v64']",7
721,c47,0.3748482142857143,0.6170247395833334,0.5123997738486842,"['v22', 'v17', 'v3', 'v18', 'v2', 'v78', 'v10', 'v23']",8
781,c41,0.8361116071428571,0.9514227973090278,0.9887534693667763,"['v52', 'v40', 'v84', 'v62', 'v97', 'v58', 'v20', 'v21', 'v29', 'v86', 'v55']",11
781,c42,0.07134821428571429,0.11133490668402778,0.21066123560855263,['v56'],1
841,c7,0.23101785714285714,0.24346923828125,0.32898912931743424,"['v40', 'v20', 'v21']",3
